dispnum3,styear,endyear,outcome,settle,maxdur,mindur,numa,numb,a_stabb,a_styear,a_endyear,a_revstate,a_revtype1,a_revtype2,a_milex,a_milper,a_irst,a_pec,a_tpop,a_upop,a_cinc,b_stabb,b_styear,b_endyear,b_revstate,b_revtype1,b_revtype2,b_milex,b_milper,b_irst,b_pec,b_tpop,b_upop,b_cinc,war_names
3239,1816,1816,1,3,1,1,1,1,USA,1816,1816,1,2,-9,3823,17,80,254,8659,101,0.0396975,SPN,1816,1816,0,0,-9,6512,125,10,0,11073,221,0.0463931,
3321,1817,1817,4,1,51,51,1,1,USR,1817,1817,1,1,-9,8425,700,132,15,46600,232,0.1573987,TUR,1817,1817,0,0,-9,-9,121,0,1,25500,801,0.0622179,
1567,1818,1818,1,1,77,77,1,1,USA,1818,1818,1,1,-9,1910,14,90,302,9139,112,0.0361265,SPN,1818,1818,0,0,-9,4681,126,10,0,11241,234,0.0440298,
142,1821,1821,5,3,24,24,1,1,USR,1821,1821,1,2,-9,9654,949,159,14,49300,384,0.1738877,TUR,1821,1821,0,0,-9,-9,181,0,1,26772,836,0.0637889,
147,1821,1821,1,2,83,53,1,1,AUH,1821,1821,1,3,-9,7864,273,72,100,30940,669,0.0985494,SIC,1821,1821,0,0,-9,-9,49,0,-9,6974,483,0.0307325,
167,1821,1821,1,2,30,30,1,1,AUH,1821,1821,1,3,-9,7864,273,72,100,30940,669,0.0985494,ITA,1821,1821,0,0,-9,931,43,10,0,3938,0,0.0108699,
366,1821,1822,5,3,185,185,1,1,FRN,1821,1822,1,2,-9,9082,220.5,165,1207.5,30575,925,0.12618085,SPN,1821,1822,0,0,-9,841.5,161.5,10,0,11541,258.5,0.03330765,
89,1822,1823,1,2,419,419,4,1,GMY,1823,1823,0,0,-9,3377,130,39,1500,11844,212,0.0492057,SPN,1822,1823,0,0,-9,-9,136,10,0,11628,265.5,0.03116625,
89,1822,1823,1,2,419,419,4,1,AUH,1823,1823,0,0,-9,6136,272,72,100,31543,674,0.092077,SPN,1822,1823,0,0,-9,-9,136,10,0,11628,265.5,0.03116625,
89,1822,1823,1,2,419,419,4,1,FRN,1822,1823,1,2,-9,11652,249.5,180,1285,30820,937.5,0.1391317,SPN,1822,1823,0,0,-9,-9,136,10,0,11628,265.5,0.03116625,
89,1822,1823,1,2,419,419,4,1,USR,1823,1823,0,0,-9,9261,684,149,14,50800,495,0.1560409,SPN,1822,1823,0,0,-9,-9,136,10,0,11628,265.5,0.03116625,
1735,1825,1825,5,3,2,2,1,1,ITA,1825,1825,0,0,-9,1024,27,10,0,4086,0,0.0101648,TUR,1825,1825,0,0,-9,-9,190,0,3,28100,872,0.0632651,
64,1826,1826,4,1,185,185,1,1,USR,1826,1826,1,2,-9,7376,578,157,27,53000,722,0.1500554,TUR,1826,1826,0,0,-9,-9,190,0,3,28442,881,0.0651783,
1622,1826,1826,4,1,1,1,1,1,UKG,1826,1826,1,2,-9,11475,149,520,27703,22576,2513,0.3298248,BRA,1826,1826,0,0,-9,-9,18,0,0,4901,0,0.005787,
1752,1826,1826,4,2,1,1,1,1,FRN,1826,1826,1,2,-9,10604,237,206,1597,31600,983,0.1383329,BRA,1826,1826,0,0,-9,-9,18,0,0,4901,0,0.005787,
146,1827,1828,1,2,259,230,3,1,UKG,1827,1828,1,2,-9,10200,155,695,28581,23031,2609.5,0.32988195,TUR,1827,1828,0,0,-9,-9,160,0,3,28962,895.5,0.06010115,
146,1827,1828,1,2,259,230,3,1,USR,1827,1828,1,2,-9,7733.5,649.5,181,26,54200,826.5,0.1559816,TUR,1827,1828,0,0,-9,-9,160,0,3,28962,895.5,0.06010115,
146,1827,1828,1,2,259,230,3,1,FRN,1827,1828,1,2,-9,11043.5,242,218.5,2308,31900,1003,0.13921125,TUR,1827,1828,0,0,-9,-9,160,0,3,28962,895.5,0.06010115,
189,1827,1829,1,1,684,655,1,1,USR,1827,1829,1,2,-9,7848.666667,700.6666667,183.3333333,26,54566.66667,833.3333333,0.159107867,TUR,1827,1829,0,0,-9,-9,149.6666667,0,3,29138.33333,900.3333333,0.058793867,
367,1828,1828,4,2,40,40,1,1,FRN,1828,1828,1,2,-9,12073,247,221,2379,32000,1010,0.1437191,TUR,1828,1828,0,0,-9,-9,129,0,3,29137,900,0.056853,
1579,1829,1829,4,1,2,2,1,1,GRC,1829,1829,1,2,-9,-9,5,0,4,759,0,0.0010764,TUR,1829,1829,0,0,-9,-9,129,0,3,29491,910,0.0561793,
370,1830,1830,5,3,34,5,1,1,GMY,1830,1830,1,2,-9,3096,130,45,1800,12988,244,0.0454263,FRN,1830,1830,0,0,-9,12618,259,266,2531,32370,1037,0.1401243,
25,1831,1832,5,3,185,185,2,3,GMY,1831,1831,1,1,-9,3135,131,93,1700,13039,249,0.0471647,BEL,1831,1832,0,0,-9,2876.5,50,91.5,1913,4096.5,194.5,0.03534675,
25,1831,1832,5,3,185,185,2,3,NTH,1831,1832,1,1,-9,3597,59,0,566.5,2722.5,203.5,0.02227425,UKG,1831,1831,0,0,-9,8903,150,600,30981,24135,2849,0.2989098,
25,1831,1832,5,3,185,185,2,3,NTH,1831,1832,1,1,-9,3597,59,0,566.5,2722.5,203.5,0.02227425,BEL,1831,1832,0,0,-9,2876.5,50,91.5,1913,4096.5,194.5,0.03534675,
25,1831,1832,5,3,185,185,2,3,GMY,1831,1831,1,1,-9,3135,131,93,1700,13039,249,0.0471647,FRN,1831,1831,0,0,-9,18174,373,225,2341,32570,1052,0.14995,
25,1831,1832,5,3,185,185,2,3,GMY,1831,1831,1,1,-9,3135,131,93,1700,13039,249,0.0471647,UKG,1831,1831,0,0,-9,8903,150,600,30981,24135,2849,0.2989098,
25,1831,1832,5,3,185,185,2,3,NTH,1831,1832,1,1,-9,3597,59,0,566.5,2722.5,203.5,0.02227425,FRN,1831,1831,0,0,-9,18174,373,225,2341,32570,1052,0.14995,
137,1831,1831,5,3,8,8,1,1,UKG,1831,1831,1,2,-9,8903,150,600,30981,24135,2849,0.2989098,POR,1831,1831,0,0,-9,-9,43,0,0,3098,212,0.0103574,
501,1831,1831,4,1,1,1,1,1,UKG,1831,1831,1,2,-9,8903,150,600,30981,24135,2849,0.2989098,FRN,1831,1831,0,0,-9,18174,373,225,2341,32570,1052,0.14995,
3138,1831,1831,1,1,14,14,1,1,FRN,1831,1831,1,2,-9,18174,373,225,2341,32570,1052,0.14995,POR,1831,1831,0,0,-9,-9,43,0,0,3098,212,0.0103574,
368,1832,1833,2,2,249,249,2,3,GMY,1832,1833,1,2,-9,3162,133,93,2000,13221,256.5,0.0489613,FRN,1832,1833,0,0,-9,14977.5,305,230.5,2666.5,32810,1092,0.14004745,
368,1832,1833,2,2,249,249,2,3,GMY,1832,1833,1,2,-9,3162,133,93,2000,13221,256.5,0.0489613,BEL,1832,1833,0,0,-9,2412.5,42,94,1964.5,4126.5,196.5,0.03358365,
368,1832,1833,2,2,249,249,2,3,NTH,1832,1833,0,0,-9,3387.5,38,0,581.5,2744,204.5,0.02067205,FRN,1832,1833,0,0,-9,14977.5,305,230.5,2666.5,32810,1092,0.14004745,
368,1832,1833,2,2,249,249,2,3,GMY,1832,1833,1,2,-9,3162,133,93,2000,13221,256.5,0.0489613,UKG,1832,1833,0,0,-9,8758,144.5,680,31882,24487.5,2966,0.3021129,
368,1832,1833,2,2,249,249,2,3,NTH,1832,1833,0,0,-9,3387.5,38,0,581.5,2744,204.5,0.02067205,UKG,1832,1833,0,0,-9,8758,144.5,680,31882,24487.5,2966,0.3021129,
368,1832,1833,2,2,249,249,2,3,NTH,1832,1833,0,0,-9,3387.5,38,0,581.5,2744,204.5,0.02067205,BEL,1832,1833,0,0,-9,2412.5,42,94,1964.5,4126.5,196.5,0.03358365,
153,1833,1833,4,3,19,19,2,2,FRN,1833,1833,1,2,-9,14117,299,236,2779,32890,1106,0.1385674,USR,1833,1833,0,0,-9,8671,900,159,25,58500,905,0.1573244,
153,1833,1833,4,3,19,19,2,2,FRN,1833,1833,1,2,-9,14117,299,236,2779,32890,1106,0.1385674,TUR,1833,1833,0,0,-9,-9,129,0,2,30951,949,0.0532578,
153,1833,1833,4,3,19,19,2,2,UKG,1833,1833,1,2,-9,8184,144,730,32261,24602,3006,0.3034555,USR,1833,1833,0,0,-9,8671,900,159,25,58500,905,0.1573244,
153,1833,1833,4,3,19,19,2,2,UKG,1833,1833,1,2,-9,8184,144,730,32261,24602,3006,0.3034555,TUR,1833,1833,0,0,-9,-9,129,0,2,30951,949,0.0532578,
1753,1833,1833,7,1,100,100,1,1,COL,1833,1833,0,0,-9,-9,3,0,0,1625,0,0.0014099,FRN,1833,1833,1,2,-9,14117,299,236,2779,32890,1106,0.1385674,
1524,1834,1834,7,1,212,155,1,1,COL,1834,1834,0,0,-9,-9,3,0,0,1655,0,0.0014364,USA,1834,1834,0,0,-9,2073,13,240,1291,14582,295,0.0477735,
301,1835,1835,3,1,61,2,1,1,FRN,1835,1835,0,0,-9,11823,289,295,3282,33260,1163,0.1364132,USA,1835,1835,1,2,-9,2001,14,260,1650,15003,324,0.04852,
1554,1836,1837,7,1,182,122,1,1,MEX,1836,1837,0,0,-9,-9,25,0,1,6765,139,0.00958055,USA,1836,1837,0,0,-9,2846,19.5,285,1917,15633,373.5,0.0522447,
1555,1836,1836,8,3,119,89,1,1,USA,1836,1836,0,0,-9,2571,17,280,1807,15423,356,0.050953,MEX,1836,1836,0,0,-9,-9,25,0,1,6729,138,0.0094143,
1623,1836,1837,8,1,374,374,1,1,COL,1836,1837,0,0,-9,-9,3,0,0,1733.5,0,0.0014495,UKG,1836,1837,0,0,-9,8084.5,143,1000,36075,25483.5,3302,0.30015265,
38,1837,1838,5,3,8,8,1,1,UKG,1837,1838,1,2,-9,8489.5,149,1075,37326,25777.5,3391.5,0.30235515,USA,1837,1838,0,0,-9,3102,20,300,1974.5,16053.5,410,0.05340455,
160,1838,1839,1,2,354,354,1,1,FRN,1838,1839,1,2,-9,12336,302,349,4239,33865,1271,0.13469175,MEX,1838,1839,0,0,-9,-9,25,0,2,6911.5,143,0.00956855,
1553,1838,1838,5,3,30,1,1,1,MEX,1838,1838,0,0,-9,-9,25,0,1,6875,142,0.0096588,USA,1838,1838,0,0,-9,3083,18,310,1922,16264,429,0.0532727,
2013,1838,1838,4,2,31,1,1,1,BRA,1838,1838,1,1,-9,1268,15,0,2,5987,0,0.0085037,UKG,1838,1838,1,1,-9,8531,155,1120,37976,25904,3437,0.3039156,
15,1839,1839,6,1,82,52,1,1,USA,1839,1839,1,1,-9,2012,19,330,2159,16684,471,0.0508006,UKG,1839,1839,1,1,-9,9737,159,1250,39345,26199,3531,0.3093704,
1556,1839,1839,7,3,31,1,1,1,USA,1839,1839,0,0,-9,2012,19,330,2159,16684,471,0.0508006,MEX,1839,1839,0,0,-9,-9,25,0,3,6948,144,0.0094783,
1740,1839,1842,6,1,1067,1067,1,1,UKG,1839,1842,1,1,-9,10332.75,171,1265,41114.75,26610.5,3673,0.306513725,BRA,1839,1842,1,1,-9,2016.75,18.25,0,13.25,6242.75,0,0.009894425,
1540,1840,1841,4,1,59,59,1,1,SPN,1840,1841,1,2,-9,2585,82.5,30,50,13317,440.5,0.02794885,POR,1840,1841,0,0,-9,820.5,31,0,8.5,3343.5,235.5,0.00957725,
371,1842,1842,5,3,72,42,2,1,UKG,1842,1842,1,2,-9,10836,184,1080,42193,27004,3808,0.2976352,ARG,1842,1842,0,0,-9,298,-9,0,21,671,103,0.0031591,
371,1842,1842,5,3,72,42,2,1,FRN,1842,1842,1,2,-9,20211,438,399,5211,34450,1388,0.1579932,ARG,1842,1842,0,0,-9,298,-9,0,21,671,103,0.0031591,
2055,1842,1843,5,3,92,33,2,1,UKG,1842,1843,1,2,-9,10708.5,171,1150,43172,27130,3849.5,0.29811615,ARG,1842,1843,0,0,-9,268.5,-9,0,21.5,685.5,103.5,0.0030802,
2055,1842,1843,5,3,92,33,2,1,FRN,1842,1843,1,2,-9,19201.5,417.5,411,5256,34555,1406,0.1538682,ARG,1842,1843,0,0,-9,268.5,-9,0,21.5,685.5,103.5,0.0030802,
2116,1842,1842,5,3,9,9,1,1,USA,1842,1842,1,1,-9,3011,23,219,2643,18345,610,0.0493011,MEX,1842,1842,0,0,-9,-9,20,0,8,7125,151,0.0087672,
1507,1843,1844,1,2,223,223,1,1,CHL,1843,1844,1,1,-9,-9,2,0,8,1097,0,0.00086945,ARG,1843,1844,1,1,-9,254,-9,0,26,714.5,104.5,0.0030556,
