dispnum3,styear,endyear,outcome,settle,maxdur,mindur,numa,numb,a_ccode,a_styear,a_endyear,a_revstate,a_revtype1,a_revtype2,a_milex,a_milper,a_irst,a_pec,a_tpop,a_upop,a_cinc,b_ccode,b_styear,b_endyear,b_revstate,b_revtype1,b_revtype2,b_milex,b_milper,b_irst,b_pec,b_tpop,b_upop,b_cinc,war_names
2,1902,1903,6,1,208,178,1,1,2,1902,1903,1,1,-9,41768,108.5,14977.5,328187,79897.5,15535,0.20908235,200,1902,1903,1,1,-9,79909.5,452.5,5051.5,189399.5,42070,14015,0.1521152,
3,1913,1913,4,3,177,177,1,1,300,1913,1913,1,2,-9,37513,358,2611,37670,52166,4696,0.0447277,345,1913,1913,0,0,-9,1194,32,0,198,3003,138,0.0017763,
4,1946,1946,5,3,183,183,1,1,339,1946,1946,0,0,-9,11946,60,0,201,1138,0,0.0007929,200,1946,1946,0,0,-9,17753616,2053,12899,214896,49217,18754,0.1161727,
7,1951,1952,1,3,106,106,1,1,200,1951,1952,0,0,-9,3778356.5,849,16285,213128.5,50642.5,19137,0.0580214,651,1951,1952,1,2,-9,97310,79,0,4076.5,21190,4406,0.0052353,
8,1856,1857,1,2,257,227,1,1,200,1856,1857,1,2,-9,25617.5,327,3681,74294.5,28099,5218.5,0.29287425,630,1856,1857,0,0,-9,-9,18,0,0,6324.5,136,0.0059236,
9,1889,1890,6,1,13,13,1,1,200,1889,1890,1,1,-9,29296,276.5,8244,154508,37331.5,11103.5,0.1843866,235,1889,1890,0,0,-9,1576,30.5,0,596,5025,407,0.0047339,
11,1938,1938,4,1,2,2,1,1,255,1938,1938,1,1,-9,7415163,782,22656,232155,68424,20796,0.1542221,305,1938,1938,0,0,-9,41523,58,673,2362,6753,2141,0.0051238,
12,1938,1938,4,1,204,204,1,5,255,1938,1938,1,1,-9,7415163,782,22656,232155,68424,20796,0.1542221,200,1938,1938,0,0,-9,1863997,376,10565,218151,48404,18350,0.077787,
12,1938,1938,4,1,204,204,1,5,255,1938,1938,1,1,-9,7415163,782,22656,232155,68424,20796,0.1542221,211,1938,1938,0,0,-9,63225,90,2279,31565,8387,977,0.0103779,
12,1938,1938,4,1,204,204,1,5,255,1938,1938,1,1,-9,7415163,782,22656,232155,68424,20796,0.1542221,315,1938,1938,0,0,-9,201459,163,1800,27589,14600,1623,0.0130477,
12,1938,1938,4,1,204,204,1,5,255,1938,1938,1,1,-9,7415163,782,22656,232155,68424,20796,0.1542221,220,1938,1938,0,0,-9,919284,581,6137,82599,41960,6351,0.0455686,
12,1938,1938,4,1,204,204,1,5,255,1938,1938,1,1,-9,7415163,782,22656,232155,68424,20796,0.1542221,365,1938,1938,0,0,-9,5429984,1566,18057,169211,166859,36532,0.1643592,
13,1863,1863,1,2,134,134,3,1,200,1863,1863,1,2,-9,22204,312,4582,87608,29471,6033,0.2509915,740,1863,1863,0,0,-9,-9,0,0,0,33091,1850,0.0242581,
13,1863,1863,1,2,134,134,3,1,220,1863,1863,0,0,-9,27082,493,1157,16505,37710,2992,0.1023744,740,1863,1863,0,0,-9,-9,0,0,0,33091,1850,0.0242581,
13,1863,1863,1,2,134,134,3,1,2,1863,1863,0,0,-9,119662,960,860,21157,34026,3018,0.178967,740,1863,1863,0,0,-9,-9,0,0,0,33091,1850,0.0242581,
14,1895,1895,4,3,78,78,1,1,200,1895,1895,1,2,-9,35743,309,7827,161765,39221,12306,0.1719241,640,1895,1895,0,0,-9,6745,231,10,161,27348,809,0.0193587,
15,1839,1839,6,1,82,52,1,1,2,1839,1839,1,1,-9,2012,19,330,2159,16684,471,0.0508006,200,1839,1839,1,1,-9,9737,159,1250,39345,26199,3531,0.3093704,
16,1897,1898,4,3,43,43,2,2,740,1897,1898,1,2,-9,11148.5,144,23,6343.5,42643,3296.5,0.0280402,730,1897,1898,0,0,-9,45,4,0,0,11046,205,0.00266505,
16,1897,1898,4,3,43,43,2,2,740,1897,1898,1,2,-9,11148.5,144,23,6343.5,42643,3296.5,0.0280402,365,1897,1898,1,2,-9,39091.5,928,2063.5,24543,127400,6444.5,0.1051292,
16,1897,1898,4,3,43,43,2,2,200,1897,1898,1,2,-9,36964,325,8842.5,170371.5,40184,12896,0.1616263,365,1897,1898,1,2,-9,39091.5,928,2063.5,24543,127400,6444.5,0.1051292,
16,1897,1898,4,3,43,43,2,2,200,1897,1898,1,2,-9,36964,325,8842.5,170371.5,40184,12896,0.1616263,730,1897,1898,0,0,-9,45,4,0,0,11046,205,0.00266505,
19,1848,1849,5,1,434,434,1,3,300,1848,1849,0,0,-9,11273,408.5,149.5,899,36379,789,0.0828984,337,1848,1848,0,0,-9,219,6,0,-9,1547,103,0.0034357,
19,1848,1849,5,1,434,434,1,3,300,1848,1849,0,0,-9,11273,408.5,149.5,899,36379,789,0.0828984,325,1848,1849,1,1,-9,3815.5,70,20,58.5,4922,237.5,0.0179754,
19,1848,1849,5,1,434,434,1,3,300,1848,1849,0,0,-9,11273,408.5,149.5,899,36379,789,0.0828984,332,1848,1848,0,0,-9,-9,3,0,-9,576,0,0.0007266,
20,1945,1946,3,1,173,173,1,1,365,1945,1946,1,2,-9,8676900,7500,12799,165519.5,175650,28649.5,0.12037415,630,1945,1946,0,0,-9,32272.5,95.5,0,1968.5,15311.5,1797,0.00392225,
21,1912,1912,5,3,13,13,1,2,300,1912,1912,1,2,-9,27376,322,2708,33358,51729,4555,0.0436742,365,1912,1912,1,2,-9,73512,1434,4503,50459,167900,11801,0.1240176,
21,1912,1912,5,3,13,13,1,2,300,1912,1912,1,2,-9,27376,322,2708,33358,51729,4555,0.0436742,345,1912,1912,1,1,-9,1184,31,0,150,3052,128,0.001895,
22,1940,1940,1,2,9,9,1,1,365,1940,1940,1,1,-9,6145214,4200,18317,201846,194077,33978,0.1373449,367,1940,1940,0,0,-9,7984,34,2,1153,2000,392,0.0008913,
23,1939,1939,4,1,232,202,1,1,365,1939,1939,1,2,-9,5984123,1789,17564,181115,170315,35124,0.1381359,366,1939,1939,0,0,-9,5123,15,0,768,1141,175,0.0005647,
25,1831,1832,5,3,185,185,2,3,255,1831,1831,1,1,-9,3135,131,93,1700,13039,249,0.0471647,220,1831,1831,0,0,-9,18174,373,225,2341,32570,1052,0.14995,
25,1831,1832,5,3,185,185,2,3,255,1831,1831,1,1,-9,3135,131,93,1700,13039,249,0.0471647,200,1831,1831,0,0,-9,8903,150,600,30981,24135,2849,0.2989098,
25,1831,1832,5,3,185,185,2,3,210,1831,1832,1,1,-9,3597,59,0,566.5,2722.5,203.5,0.02227425,211,1831,1832,0,0,-9,2876.5,50,91.5,1913,4096.5,194.5,0.03534675,
25,1831,1832,5,3,185,185,2,3,255,1831,1831,1,1,-9,3135,131,93,1700,13039,249,0.0471647,211,1831,1832,0,0,-9,2876.5,50,91.5,1913,4096.5,194.5,0.03534675,
25,1831,1832,5,3,185,185,2,3,210,1831,1832,1,1,-9,3597,59,0,566.5,2722.5,203.5,0.02227425,200,1831,1831,0,0,-9,8903,150,600,30981,24135,2849,0.2989098,
25,1831,1832,5,3,185,185,2,3,210,1831,1832,1,1,-9,3597,59,0,566.5,2722.5,203.5,0.02227425,220,1831,1831,0,0,-9,18174,373,225,2341,32570,1052,0.14995,
26,1948,1949,5,3,492,492,1,3,365,1948,1949,1,1,-9,13561258,3250,20965,248745,176500,31309,0.16595875,2,1948,1949,0,0,-9,12231999,1530.5,75576.5,1297869,148487.5,42617.5,0.28391305,
26,1948,1949,5,3,492,492,1,3,365,1948,1949,1,1,-9,13561258,3250,20965,248745,176500,31309,0.16595875,220,1948,1949,0,0,-9,1078479,582.5,8194,86778.5,41222,6778,0.03404045,
26,1948,1949,5,3,492,492,1,3,365,1948,1949,1,1,-9,13561258,3250,20965,248745,176500,31309,0.16595875,200,1948,1949,0,0,-9,3288158.5,808.5,15459.5,235100.5,50175,18879.5,0.0731068,
27,1961,1961,5,3,96,96,4,4,220,1961,1961,0,0,-9,4128544,720,17570,123162,46163,8233,0.0303877,265,1961,1961,1,2,-9,289001,139,3867,85932,17125,3491,0.009042,
27,1961,1961,5,3,96,96,4,4,260,1961,1961,0,0,-9,3158714,350,33458,214278,56227,16433,0.0404706,315,1961,1961,0,0,-9,1111500,310,7043,59156,13780,1958,0.0113344,
27,1961,1961,5,3,96,96,4,4,260,1961,1961,0,0,-9,3158714,350,33458,214278,56227,16433,0.0404706,365,1961,1961,1,2,-9,43662960,3000,70756,660194,218145,53420,0.173759,
27,1961,1961,5,3,96,96,4,4,2,1961,1961,0,0,-9,47808000,2307,88917,1447002,183691,50941,0.2106549,290,1961,1961,0,0,-9,1071000,305,7234,77271,29965,6297,0.0144405,
27,1961,1961,5,3,96,96,4,4,220,1961,1961,0,0,-9,4128544,720,17570,123162,46163,8233,0.0303877,290,1961,1961,0,0,-9,1071000,305,7234,77271,29965,6297,0.0144405,
27,1961,1961,5,3,96,96,4,4,220,1961,1961,0,0,-9,4128544,720,17570,123162,46163,8233,0.0303877,315,1961,1961,0,0,-9,1111500,310,7043,59156,13780,1958,0.0113344,
27,1961,1961,5,3,96,96,4,4,200,1961,1961,0,0,-9,4791138,475,22441,241081,52807,18648,0.0400909,365,1961,1961,1,2,-9,43662960,3000,70756,660194,218145,53420,0.173759,
27,1961,1961,5,3,96,96,4,4,2,1961,1961,0,0,-9,47808000,2307,88917,1447002,183691,50941,0.2106549,315,1961,1961,0,0,-9,1111500,310,7043,59156,13780,1958,0.0113344,
27,1961,1961,5,3,96,96,4,4,2,1961,1961,0,0,-9,47808000,2307,88917,1447002,183691,50941,0.2106549,365,1961,1961,1,2,-9,43662960,3000,70756,660194,218145,53420,0.173759,
27,1961,1961,5,3,96,96,4,4,260,1961,1961,0,0,-9,3158714,350,33458,214278,56227,16433,0.0404706,290,1961,1961,0,0,-9,1071000,305,7234,77271,29965,6297,0.0144405,
27,1961,1961,5,3,96,96,4,4,220,1961,1961,0,0,-9,4128544,720,17570,123162,46163,8233,0.0303877,365,1961,1961,1,2,-9,43662960,3000,70756,660194,218145,53420,0.173759,
27,1961,1961,5,3,96,96,4,4,200,1961,1961,0,0,-9,4791138,475,22441,241081,52807,18648,0.0400909,315,1961,1961,0,0,-9,1111500,310,7043,59156,13780,1958,0.0113344,
27,1961,1961,5,3,96,96,4,4,2,1961,1961,0,0,-9,47808000,2307,88917,1447002,183691,50941,0.2106549,265,1961,1961,1,2,-9,289001,139,3867,85932,17125,3491,0.009042,
27,1961,1961,5,3,96,96,4,4,200,1961,1961,0,0,-9,4791138,475,22441,241081,52807,18648,0.0400909,290,1961,1961,0,0,-9,1071000,305,7234,77271,29965,6297,0.0144405,
27,1961,1961,5,3,96,96,4,4,260,1961,1961,0,0,-9,3158714,350,33458,214278,56227,16433,0.0404706,265,1961,1961,1,2,-9,289001,139,3867,85932,17125,3491,0.009042,
27,1961,1961,5,3,96,96,4,4,200,1961,1961,0,0,-9,4791138,475,22441,241081,52807,18648,0.0400909,265,1961,1961,1,2,-9,289001,139,3867,85932,17125,3491,0.009042,
28,1961,1961,6,1,49,49,1,1,616,1961,1961,1,2,-9,20476,18,0,54,4297,438,0.0005757,220,1961,1961,0,0,-9,4128544,720,17570,123162,46163,8233,0.0303877,
30,1908,1909,3,1,177,177,1,1,345,1908,1909,1,1,-9,966,32.5,0,93.5,2842.5,50.5,0.00177545,300,1908,1909,0,0,-9,24256.5,315.5,1990.5,33156,50219.5,4093.5,0.04564285,
31,1900,1900,1,2,79,79,8,1,740,1900,1900,1,2,-9,13311,182,1,8010,43847,3856,0.0288864,710,1900,1900,0,0,-9,12241,1000,0,233,425577,-9,0.1199774,
31,1900,1900,1,2,79,79,8,1,325,1900,1900,0,0,-9,14112,262,116,5237,32350,3162,0.0281645,710,1900,1900,0,0,-9,12241,1000,0,233,425577,-9,0.1199774,
31,1900,1900,1,2,79,79,8,1,365,1900,1900,1,2,-9,43104,1142,2216,33930,132900,6666,0.1092385,710,1900,1900,0,0,-9,12241,1000,0,233,425577,-9,0.1199774,
31,1900,1900,1,2,79,79,8,1,220,1900,1900,0,0,-9,40569,621,1565,48650,38940,5233,0.0747144,710,1900,1900,0,0,-9,12241,1000,0,233,425577,-9,0.1199774,
31,1900,1900,1,2,79,79,8,1,200,1900,1900,1,2,-9,119587,487,4980,185652,41155,13513,0.1775276,710,1900,1900,0,0,-9,12241,1000,0,233,425577,-9,0.1199774,
31,1900,1900,1,2,79,79,8,1,2,1900,1900,0,0,-9,41481,126,10352,256081,76094,14207,0.1879988,710,1900,1900,0,0,-9,12241,1000,0,233,425577,-9,0.1199774,
31,1900,1900,1,2,79,79,8,1,300,1900,1900,0,0,-9,16242,308,1170,20158,46798,3175,0.042399,710,1900,1900,0,0,-9,12241,1000,0,233,425577,-9,0.1199774,
31,1900,1900,1,2,79,79,8,1,255,1900,1900,0,0,-9,39681,624,6461,122681,56046,8719,0.1315254,710,1900,1900,0,0,-9,12241,1000,0,233,425577,-9,0.1199774,
