dispnum3,styear,endyear,outcome,settle,hiact,maxdur,mindur,numa,numb,conttype,a_ccode,a_styear,a_endyear,a_revstate,a_revtype1,a_revtype2,a_milex,a_milper,a_irst,a_pec,a_tpop,a_upop,a_cinc,b_ccode,b_styear,b_endyear,b_revstate,b_revtype1,b_revtype2,b_milex,b_milper,b_irst,b_pec,b_tpop,b_upop,b_cinc
89,1822,1823,1,2,20,419,419,4,1,0,255,1823,1823,0,0,-9,3377.0,130.0,39.0,1500.0,11844.0,212.0,0.0492057,230,1822,1823,0,0,-9,-9.0,136.0,10.0,0.0,11627.999999999998,265.50000000000006,0.03116625000000001
89,1822,1823,1,2,20,419,419,4,1,0,365,1823,1823,0,0,-9,9261.0,684.0,149.0,14.0,50800.0,495.0,0.1560409,230,1822,1823,0,0,-9,-9.0,135.99999999999997,10.0,0.0,11628.000000000002,265.50000000000011,0.031166249999999972
89,1822,1823,1,2,20,419,419,4,1,0,300,1823,1823,0,0,-9,6136.0,272.0,72.0,100.0,31543.0,674.0,0.092077,230,1822,1823,0,0,-9,-9.0,136.0,10.0,0.0,11628.000000000004,265.49999999999983,0.031166249999999993
1735,1825,1825,5,3,17,2,2,1,1,4,325,1825,1825,0,0,-9,1024.0,27.0,10.0,0.0,4086.0,0.0,0.0101648,640,1825,1825,0,0,-9,-9.0,190.0,0.0,3.0,28100.0,872.0,0.0632651
368,1832,1833,2,2,17,249,249,2,3,4,210,1832,1833,0,0,-9,3387.5,38.0,0.0,581.50000000000034,2744.0,204.49999999999991,0.020672050000000004,200,1832,1833,0,0,-9,8758.0000000000018,144.50000000000003,680.00000000000011,31882.000000000015,24487.500000000004,2965.9999999999991,0.3021129
368,1832,1833,2,2,17,249,249,2,3,1,210,1832,1833,0,0,-9,3387.4999999999991,38.0,0.0,581.50000000000034,2744.0000000000005,204.49999999999994,0.020672049999999994,211,1832,1833,0,0,-9,2412.5,42.0,94.000000000000014,1964.5000000000002,4126.5,196.49999999999997,0.033583650000000007
368,1832,1833,2,2,17,249,249,2,3,1,210,1832,1833,0,0,-9,3387.4999999999995,38.0,0.0,581.49999999999989,2743.9999999999986,204.49999999999991,0.02067205,220,1832,1833,0,0,-9,14977.499999999998,304.99999999999994,230.50000000000003,2666.5000000000009,32809.999999999985,1092.0000000000002,0.14004745000000002
368,1832,1833,2,2,17,249,249,2,3,5,210,1832,1833,0,0,-9,3387.4999999999995,38.0,0.0,581.49999999999989,2743.9999999999986,204.49999999999991,0.02067205,220,1832,1833,0,0,-9,14977.499999999998,304.99999999999994,230.50000000000003,2666.5000000000009,32809.999999999985,1092.0000000000002,0.14004745000000002
1753,1833,1833,7,1,15,100,100,1,1,0,100,1833,1833,0,0,-9,-9.0,3.0,0.0,0.0,1625.0,0.0,0.0014099,220,1833,1833,1,2,-9,14117.0,299.0,236.0,2779.0,32890.0,1106.0,0.1385674
1524,1834,1834,7,1,15,212,155,1,1,0,100,1834,1834,0,0,-9,-9.0,3.0,0.0,0.0,1655.0,0.0,0.0014364,2,1834,1834,0,0,-9,2073.0,13.0,240.0,1291.0,14582.0,295.0,0.0477735
301,1835,1835,3,1,8,61,2,1,1,0,220,1835,1835,0,0,-9,11823.0,289.0,295.0,3282.0,33260.0,1163.0,0.1364132,2,1835,1835,1,2,-9,2001.0,14.0,260.0,1650.0,15003.0,324.0,0.04852
1555,1836,1836,8,3,14,119,89,1,1,1,2,1836,1836,0,0,-9,2571.0,17.0,280.0,1807.0,15423.0,356.0,0.050953,70,1836,1836,0,0,-9,-9.0,25.0,0.0,1.0,6729.0,138.0,0.0094143
1554,1836,1837,7,1,15,182,122,1,1,1,70,1836,1837,0,0,-9,-9.0,25.0,0.0,1.0,6765.0000000000018,139.0,0.0095805500000000019,2,1836,1837,0,0,-9,2845.9999999999991,19.5,285.0,1917.0,15633.000000000002,373.49999999999994,0.052244699999999991
1623,1836,1837,8,1,15,374,374,1,1,0,100,1836,1837,0,0,-9,-9.0,3.0,0.0,0.0,1733.5000000000002,0.0,0.0014495000000000005,200,1836,1837,0,0,-9,8084.5000000000073,143.0,999.99999999999955,36075.0,25483.500000000004,3301.9999999999991,0.30015265000000019
1553,1838,1838,5,3,16,30,1,1,1,1,70,1838,1838,0,0,-9,-9.0,25.0,0.0,1.0,6875.0,142.0,0.0096588,2,1838,1838,0,0,-9,3083.0,18.0,310.0,1922.0,16264.0,429.0,0.0532727
1556,1839,1839,7,3,15,31,1,1,1,1,2,1839,1839,0,0,-9,2012.0,19.0,330.0,2159.0,16684.0,471.0,0.0508006,70,1839,1839,0,0,-9,-9.0,25.0,0.0,3.0,6948.0,144.0,0.0094783
1586,1846,1846,5,3,13,182,182,1,1,1,160,1846,1846,0,0,-9,199.0,-9.0,0.0,29.0,790.0,108.0,0.0027282,150,1846,1846,1,2,-9,-9.0,8.0,0.0,0.0,311.0,0.0,0.0008368
1498,1846,1847,4,4,8,92,92,2,1,0,135,1846,1847,0,0,-9,-9.0,10.500000000000005,0.0,0.0,1798.0,0.0,0.0019320500000000005,230,1846,1847,1,3,-9,2210.9999999999986,121.0,38.0,142.00000000000003,13932.5,521.00000000000011,0.028161050000000007
1498,1846,1847,4,4,8,92,92,2,1,0,155,1846,1847,0,0,-9,-9.0,2.4999999999999996,0.0,10.499999999999998,1183.9999999999998,0.0,0.00094684999999999973,230,1846,1847,1,3,-9,2210.9999999999995,121.0,38.0,142.00000000000003,13932.5,520.99999999999989,0.028161050000000007
19,1848,1849,5,1,20,434,434,1,3,0,300,1848,1849,0,0,-9,11272.999999999998,408.5,149.49999999999997,898.99999999999989,36379.000000000015,788.99999999999977,0.082898400000000011,337,1848,1848,0,0,-9,219.0,6.0,0.0,-9.0,1547.0,103.0,0.0034357
19,1848,1849,5,1,20,434,434,1,3,1,300,1848,1849,0,0,-9,11272.999999999998,408.5,149.49999999999994,898.99999999999989,36378.999999999985,789.0,0.082898400000000039,332,1848,1848,0,0,-9,-9.0,3.0,0.0,-9.0,576.0,0.0,0.0007266
375,1848,1849,6,1,20,466,466,4,4,0,240,1848,1848,0,0,-9,244.0,22.0,10.0,56.0,1759.0,0.0,0.0032822,365,1848,1848,0,0,-9,18003.0,526.0,198.0,107.0,67100.0,1035.0,0.1225773
375,1848,1849,6,1,20,466,466,4,4,5,240,1848,1848,0,0,-9,244.0,22.0,10.0,56.0,1759.0,0.0,0.0032822,200,1848,1848,0,0,-9,14883.0,208.0,2090.0,53858.0,27820.0,4339.0,0.3041608
375,1848,1849,6,1,20,466,466,4,4,5,240,1848,1848,0,0,-9,244.0,22.0,10.0,56.0,1759.0,0.0,0.0032822,380,1848,1848,0,0,-9,593.0,47.0,143.0,52.0,4743.0,0.0,0.0121058
375,1848,1849,6,1,20,466,466,4,4,0,245,1849,1849,0,0,-9,800.0,58.0,20.0,91.0,4512.0,0.0,0.0082606,365,1848,1848,0,0,-9,18003.0,526.0,198.0,107.0,67100.0,1035.0,0.1225773
375,1848,1849,6,1,20,466,466,4,4,0,245,1849,1849,0,0,-9,800.0,58.0,20.0,91.0,4512.0,0.0,0.0082606,380,1848,1848,0,0,-9,593.0,47.0,143.0,52.0,4743.0,0.0,0.0121058
375,1848,1849,6,1,20,466,466,4,4,0,269,1849,1849,0,0,-9,299.0,26.0,20.0,-9.0,1886.0,0.0,0.0046492,380,1848,1848,0,0,-9,593.0,47.0,143.0,52.0,4743.0,0.0,0.0121058
375,1848,1849,6,1,20,466,466,4,4,0,269,1849,1849,0,0,-9,299.0,26.0,20.0,-9.0,1886.0,0.0,0.0046492,365,1848,1848,0,0,-9,18003.0,526.0,198.0,107.0,67100.0,1035.0,0.1225773
375,1848,1849,6,1,20,466,466,4,4,0,269,1849,1849,0,0,-9,299.0,26.0,20.0,-9.0,1886.0,0.0,0.0046492,200,1848,1848,0,0,-9,14883.0,208.0,2090.0,53858.0,27820.0,4339.0,0.3041608
375,1848,1849,6,1,20,466,466,4,4,0,245,1849,1849,0,0,-9,800.0,58.0,20.0,91.0,4512.0,0.0,0.0082606,200,1848,1848,0,0,-9,14883.0,208.0,2090.0,53858.0,27820.0,4339.0,0.3041608
