dispnum3,styear,endyear,outcome,settle,hiact,hostlev,maxdur,mindur,numa,numb,conttype,a_ccode,a_styear,a_endyear,a_revstate,a_revtype1,a_revtype2,a_milex,a_milper,a_irst,a_pec,a_tpop,a_upop,a_cinc,b_ccode,b_styear,b_endyear,b_revstate,b_revtype1,b_revtype2,b_milex,b_milper,b_irst,b_pec,b_tpop,b_upop,b_cinc
89,1822,1823,1,2,20,5,419,419,4,1,0,255,1823,1823,0,0,-9,3377.0,130.0,39.0,1500.0,11844.0,212.0,0.0492057,230,1822,1823,0,0,-9,-9.0,136.0,10.0,0.0,11628.0,265.5,0.03116625
89,1822,1823,1,2,20,5,419,419,4,1,0,365,1823,1823,0,0,-9,9261.0,684.0,149.0,14.0,50800.0,495.0,0.1560409,230,1822,1823,0,0,-9,-9.0,136.0,10.0,0.0,11628.0,265.5,0.03116625
89,1822,1823,1,2,20,5,419,419,4,1,0,300,1823,1823,0,0,-9,6136.0,272.0,72.0,100.0,31543.0,674.0,0.092077,230,1822,1823,0,0,-9,-9.0,136.0,10.0,0.0,11628.0,265.5,0.03116625
1735,1825,1825,5,3,17,4,2,2,1,1,4,325,1825,1825,0,0,-9,1024.0,27.0,10.0,0.0,4086.0,0.0,0.0101648,640,1825,1825,0,0,-9,-9.0,190.0,0.0,3.0,28100.0,872.0,0.0632651
368,1832,1833,2,2,17,4,249,249,2,3,4,210,1832,1833,0,0,-9,3387.5,38.0,0.0,581.5,2744.0,204.5,0.020672049999999997,200,1832,1833,0,0,-9,8758.0,144.5,680.0,31882.0,24487.5,2966.0,0.3021129
368,1832,1833,2,2,17,4,249,249,2,3,1,210,1832,1833,0,0,-9,3387.5,38.0,0.0,581.5,2744.0,204.5,0.020672049999999997,211,1832,1833,0,0,-9,2412.5,42.0,94.0,1964.5,4126.5,196.5,0.03358365
368,1832,1833,2,2,17,4,249,249,2,3,5,210,1832,1833,0,0,-9,3387.5,38.0,0.0,581.5,2744.0,204.5,0.020672049999999997,220,1832,1833,0,0,-9,14977.5,305.0,230.5,2666.5,32810.0,1092.0,0.14004745000000002
368,1832,1833,2,2,17,4,249,249,2,3,1,210,1832,1833,0,0,-9,3387.5,38.0,0.0,581.5,2744.0,204.5,0.020672049999999997,220,1832,1833,0,0,-9,14977.5,305.0,230.5,2666.5,32810.0,1092.0,0.14004745000000002
1753,1833,1833,7,1,15,4,100,100,1,1,0,100,1833,1833,0,0,-9,-9.0,3.0,0.0,0.0,1625.0,0.0,0.0014099,220,1833,1833,1,2,-9,14117.0,299.0,236.0,2779.0,32890.0,1106.0,0.1385674
1524,1834,1834,7,1,15,4,212,155,1,1,0,100,1834,1834,0,0,-9,-9.0,3.0,0.0,0.0,1655.0,0.0,0.0014364,2,1834,1834,0,0,-9,2073.0,13.0,240.0,1291.0,14582.0,295.0,0.0477735
